SEXE;AGE;ANNEE;POP
M;79;2017;176515
M;80;2017;170213
M;81;2017;158005
M;82;2017;151341
M;83;2017;136000
M;84;2017;130771
M;85;2017;116670
M;86;2017;105001
M;87;2017;87238
M;88;2017;75579
M;89;2017;62835
M;90;2017;52033
M;91;2017;42442
M;92;2017;33026
M;93;2017;25425
M;94;2017;19486
M;95;2017;14492
M;96;2017;10321
M;97;2017;4268
M;98;2017;2510
M;99;2017;4219
M;100;2017;0
M;101;2017;0
M;102;2017;0
M;103;2017;0
M;104;2017;0
M;105;2017;0
M;106;2017;0
M;107;2017;0
M;108;2017;0
F;0;2017;376150
F;1;2017;374972
F;2;2017;386348
F;3;2017;387339
F;4;2017;390382
F;5;2017;403265
F;6;2017;411982
F;7;2017;410514
F;8;2017;413484
F;9;2017;411270
F;10;2017;417673
F;11;2017;409187
F;12;2017;407329
F;13;2017;404926
F;14;2017;407246
F;15;2017;414993
F;16;2017;424003
F;17;2017;403454
F;18;2017;400403
F;19;2017;387569
F;20;2017;385908
F;21;2017;377455
F;22;2017;362571
F;23;2017;358914
F;24;2017;376468
F;25;2017;384559
F;26;2017;394461
F;27;2017;397703
F;28;2017;404637
F;29;2017;405147
F;30;2017;414995
F;31;2017;413866
F;32;2017;415531
F;33;2017;409272
F;34;2017;434504
F;35;2017;439804
F;36;2017;444391
F;37;2017;421550
F;38;2017;413029
F;39;2017;414421
F;40;2017;404843
F;41;2017;416030
F;42;2017;436788
F;43;2017;462055
F;44;2017;471700
F;45;2017;468633
F;46;2017;459246
F;47;2017;453966
F;48;2017;453119
F;49;2017;448752
F;50;2017;459685
F;51;2017;460249
F;52;2017;467761
F;53;2017;462539
F;54;2017;446777
F;55;2017;447601
F;56;2017;445129
F;57;2017;443700
F;58;2017;433905
F;59;2017;433482
F;60;2017;429991
F;61;2017;425731
F;62;2017;424195
F;63;2017;415300
F;64;2017;422267
F;65;2017;410729
F;66;2017;425422
F;67;2017;418301
F;68;2017;414063
F;69;2017;405063
F;70;2017;384983
F;71;2017;290816
F;72;2017;284168
F;73;2017;274924
F;74;2017;254341
F;75;2017;227541
F;76;2017;237620
F;77;2017;247969
F;78;2017;243763
F;79;2017;238422
F;80;2017;236666
F;81;2017;229960
F;82;2017;228782
F;83;2017;214417
F;84;2017;214461
F;85;2017;199356
F;86;2017;189911
F;87;2017;167057
F;88;2017;151602
F;89;2017;135375
F;90;2017;120451
F;91;2017;105534
F;92;2017;87864
F;93;2017;73337
F;94;2017;60419
F;95;2017;47489
F;96;2017;36753
F;97;2017;16322
F;98;2017;10282
F;99;2017;23075
F;100;2017;0
F;101;2017;0
F;102;2017;0
F;103;2017;0
F;104;2017;0
F;105;2017;0
F;106;2017;0
F;107;2017;0
F;108;2017;0
M;0;2018;393905
M;1;2018;390507
M;2;2018;396153
M;3;2018;408679
M;4;2018;410338
M;5;2018;414053
M;6;2018;423464
M;7;2018;434495
M;8;2018;433438
M;9;2018;435849
M;10;2018;432924
M;11;2018;439900
M;12;2018;430768
M;13;2018;428231
M;14;2018;426384
M;15;2018;430555
M;16;2018;436935
M;17;2018;445608
M;18;2018;423851
M;19;2018;414203
M;20;2018;399231
M;21;2018;392336
M;22;2018;377695
M;23;2018;360949
M;24;2018;355802
M;25;2018;375209
M;26;2018;379470
M;27;2018;388726
M;28;2018;387838
M;29;2018;392939
M;30;2018;395343
M;31;2018;401281
M;32;2018;402021
M;33;2018;399039
M;34;2018;396208
M;35;2018;421513
M;36;2018;424870
M;37;2018;432992
M;38;2018;410071
M;39;2018;403483
M;40;2018;409008
M;41;2018;398012
M;42;2018;409083
M;43;2018;433112
M;44;2018;455062
M;45;2018;467006
M;46;2018;462976
M;47;2018;453435
M;48;2018;444768
M;49;2018;439774
M;50;2018;436327
M;51;2018;446174
M;52;2018;447301
M;53;2018;449941
M;54;2018;444617
M;55;2018;428302
M;56;2018;425972
M;57;2018;423472
M;58;2018;416725
M;59;2018;406085
M;60;2018;401544
M;61;2018;394928
M;62;2018;386309
M;63;2018;385605
M;64;2018;373052
M;65;2018;377063
M;66;2018;365538
M;67;2018;378262
M;68;2018;366675
M;69;2018;364994
M;70;2018;354243
M;71;2018;332779
M;72;2018;248486
M;73;2018;238856
M;74;2018;229153
M;75;2018;210416
M;76;2018;183044
M;77;2018;185762
M;78;2018;187912
M;79;2018;179358
M;80;2018;168840
M;81;2018;161795
M;82;2018;149185
M;83;2018;141738
M;84;2018;126303
M;85;2018;120146
M;86;2018;106034
M;87;2018;94218
M;88;2018;77220
M;89;2018;65882
M;90;2018;53797
M;91;2018;43716
M;92;2018;34868
M;93;2018;26511
M;94;2018;19834
M;95;2018;14778
M;96;2018;10678
M;97;2018;7404
M;98;2018;2986
M;99;2018;4361
M;100;2018;0
M;101;2018;0
M;102;2018;0
M;103;2018;0
